2025-02-11 21:03:53,219 - INFO - Starting event ingestion...
2025-02-11 21:03:53,239 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10365f820>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,240 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10366b280>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,240 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10363ee20>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,241 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10363e4c0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,241 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10362ac10>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,241 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103676400>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,241 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103654340>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,241 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103654b80>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,241 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10363e340>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,242 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1036466a0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,242 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10362af70>: Failed to establish a new connection: [Errno 61] Connection refused'))
